***
*** Digital Image Correlation Engine (DICe), (git sha1: v3.0-beta.8-11-g5ebcdf) Copyright 2021 National Technology & Engineering Solutions of Sandia, LLC (NTESS)
***
*** Reference image: /home/rspencer/moose_work/Geometry_Optimisation/sens_opt_sinh_spline/imdef/imdef_0/defimage_0000.tiff 
*** Deformed image: /home/rspencer/moose_work/Geometry_Optimisation/sens_opt_sinh_spline/imdef/imdef_0/defimage_0001.tiff 
*** DIC method : local 
*** Correlation method: ZNSSD
*** Interpolation method: KEYS_FOURTH
*** Image gradient method: FINITE_DIFFERENCE
*** Optimization method: GRADIENT_BASED_THEN_SIMPLEX
*** Projection method: DISPLACEMENT_BASED
*** Guess initialization method: USE_FEATURE_MATCHING
*** Seed location: N/A
*** Shape functions: Translation (u,v) Normal Strain (ex,ey) Shear Strain (gamma_xy) 
*** Incremental correlation: false
*** Subset size: 21
*** Step size: x 10 y 10 (-1 implies not regular grid)
*** Strain window size in pixels: 100 (only first strain post-processor is reported)
*** Coordinates given with (0,0) as upper left corner of image, x positive right, y positive down
***
SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,VSG_STRAIN_XX,VSG_STRAIN_YY,SIGMA,GAMMA,MATCH
121,1.0000E+02,5.6000E+02,-2.8710E-02,-1.1118E-01,-1.4671E-04,-4.2157E-04,3.0289E-03,2.4581E-05,0.0000E+00
122,1.0000E+02,5.7000E+02,-3.1537E-02,-1.1481E-01,-1.4260E-04,-4.2137E-04,2.7952E-03,2.4685E-05,0.0000E+00
123,1.0000E+02,5.8000E+02,-3.4253E-02,-1.1803E-01,-1.3739E-04,-4.1882E-04,3.2364E-03,2.6496E-05,0.0000E+00
124,1.0000E+02,5.9000E+02,-3.4770E-02,-1.2211E-01,-1.4038E-04,-4.1605E-04,3.9179E-03,2.6933E-05,0.0000E+00
125,1.0000E+02,6.0000E+02,-3.3988E-02,-1.2459E-01,-1.4383E-04,-4.1503E-04,3.8155E-03,2.8155E-05,0.0000E+00
126,1.0000E+02,6.1000E+02,-3.3642E-02,-1.2825E-01,-1.3580E-04,-4.1999E-04,3.4407E-03,2.5926E-05,0.0000E+00
127,1.0000E+02,1.3600E+03,2.5552E-01,-1.0290E+00,1.0046E-04,-1.7098E-04,3.4792E-03,5.5750E-05,0.0000E+00
128,1.0000E+02,1.3700E+03,2.4908E-01,-1.0313E+00,7.2396E-05,-1.6969E-04,2.9940E-03,3.5585E-05,0.0000E+00
129,1.0000E+02,1.3800E+03,2.3918E-01,-1.0336E+00,5.6206E-05,-1.8157E-04,3.1098E-03,3.5806E-05,0.0000E+00
130,1.0000E+02,1.3900E+03,2.2922E-01,-1.0360E+00,4.0610E-05,-1.9829E-04,3.5041E-03,3.7821E-05,0.0000E+00
131,1.0000E+02,1.4000E+03,2.1989E-01,-1.0371E+00,3.1454E-05,-2.1582E-04,3.5951E-03,3.5065E-05,0.0000E+00
132,1.0000E+02,1.4100E+03,2.0893E-01,-1.0393E+00,2.2875E-05,-2.3093E-04,3.4418E-03,3.1685E-05,0.0000E+00
133,1.0000E+02,1.4200E+03,1.9820E-01,-1.0423E+00,7.8419E-06,-2.4551E-04,3.0422E-03,2.7032E-05,0.0000E+00
134,1.0000E+02,1.4300E+03,1.8697E-01,-1.0442E+00,-1.2573E-05,-2.5514E-04,3.4386E-03,2.7245E-05,0.0000E+00
135,1.0000E+02,1.4400E+03,1.7587E-01,-1.0464E+00,-2.6550E-05,-2.6937E-04,3.2052E-03,2.9672E-05,0.0000E+00
136,1.0000E+02,1.4500E+03,1.6443E-01,-1.0496E+00,-4.0107E-05,-2.8260E-04,3.4075E-03,2.8757E-05,0.0000E+00
137,1.0000E+02,1.4600E+03,1.5269E-01,-1.0522E+00,-4.9011E-05,-2.9457E-04,3.3582E-03,2.5211E-05,0.0000E+00
138,1.0000E+02,1.4700E+03,1.4085E-01,-1.0551E+00,-5.3974E-05,-3.1112E-04,3.1432E-03,2.4471E-05,0.0000E+00
139,1.0000E+02,1.4800E+03,1.2918E-01,-1.0587E+00,-5.9112E-05,-3.3060E-04,3.6702E-03,2.5174E-05,0.0000E+00
