File;TimeStamp;Force [V]; Force [N]
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0122_0.tiff;3989.374780;3.86370214920405;965.925537301011
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0123_0.tiff;4049.375338;3.89132357454672;972.83089363668
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0124_0.tiff;4109.374726;3.91302612445618;978.256531114044
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0125_0.tiff;4169.375079;3.89099474804261;972.748687010653
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0126_0.tiff;4229.374701;3.87652638214681;969.131595536702
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0127_0.tiff;4289.374743;3.89132357454672;972.83089363668
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0128_0.tiff;4349.375030;3.8919812275558;972.99530688895
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0129_0.tiff;4409.374783;3.87849934109982;969.624835274954
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0130_0.tiff;4469.374721;3.87553990267418;968.884975668545
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0131_0.tiff;4529.374776;3.8919812275558;972.99530688895
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0132_0.tiff;4589.374873;3.90579194101314;976.447985253285
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0133_0.tiff;4649.374805;3.89132357454672;972.83089363668
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0134_0.tiff;4709.375693;3.89263888056604;973.159720141509
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0135_0.tiff;4769.374771;3.9196026549806;979.900663745149
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0136_0.tiff;4829.375232;3.87751286162202;969.378215405505
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0137_0.tiff;4889.375206;3.88474704451927;971.186761129819
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0138_0.tiff;4949.375367;3.87652638214681;969.131595536702
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0139_0.tiff;5009.374834;3.89099474804261;972.748687010653
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0140_0.tiff;5069.374905;3.91467025707641;978.667564269103
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0141_0.tiff;5129.374834;3.89165240105112;972.913100262779
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0142_0.tiff;5189.375045;3.89526949261851;973.817373154628
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0143_0.tiff;5249.374839;3.89395418658997;973.488546647492
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0144_0.tiff;5309.375289;3.88967944202906;972.419860507265
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0145_0.tiff;5369.374807;3.89000826853201;972.502067133004
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0146_0.tiff;5429.375188;3.90677842056531;976.694605141327
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0147_0.tiff;5489.374980;3.90644959404763;976.612398511907
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0148_0.tiff;5549.374812;3.89099474804261;972.748687010653
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0149_0.tiff;5609.375184;3.90842255315804;977.105638289509
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0150_0.tiff;5669.374852;3.89231005406078;973.077513515194
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0151_0.tiff;5729.374815;3.87652638214681;969.131595536702
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0152_0.tiff;5789.375164;3.89395418658997;973.488546647492
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0153_0.tiff;5849.375333;3.89231005406078;973.077513515194
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0154_0.tiff;5909.375270;3.8919812275558;972.99530688895
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0155_0.tiff;5969.375334;3.88967944202906;972.419860507265
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0156_0.tiff;6029.374755;3.89822893119961;974.557232799903
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0157_0.tiff;6089.374768;3.87882816759299;969.707041898248
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0158_0.tiff;6149.374736;3.87652638214681;969.131595536702
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0159_0.tiff;6209.374754;3.89165240105112;972.913100262779
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0160_0.tiff;6269.374845;3.86633276105419;966.583190263548
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0161_0.tiff;6329.374855;3.89625597214295;974.063993035737
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0162_0.tiff;6389.374823;3.90283250237225;975.708125593063
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0163_0.tiff;6449.375488;3.89231005406078;973.077513515194
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0164_0.tiff;6509.374690;3.90677842056531;976.694605141327
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0165_0.tiff;6569.375253;3.91730086928386;979.325217320965
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0166_0.tiff;6629.374829;3.8919812275558;972.99530688895
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0167_0.tiff;6689.374840;3.89066592153879;972.666480384698
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0168_0.tiff;6749.374854;3.89461183960366;973.652959900916
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0169_0.tiff;6809.374780;3.8919812275558;972.99530688895
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0170_0.tiff;6869.374869;3.89099474804261;972.748687010653
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0171_0.tiff;6929.375181;3.89165240105112;972.913100262779
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0172_0.tiff;6989.374818;3.86929219940753;967.323049851882
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0173_0.tiff;7118.290812;3.86830571995384;967.076429988459
C:\MatchID_Grabber\RorySpencer\20240116_Creep_MT2_XY1\Test_XY_1\Image_0174_0.tiff;7238.291078;3.86600393457192;966.50098364298
