x_pic,y_pic,x,y,z,u,v,w,exx,eyy,exy,e1,e2,gamma,evm
736,1359,8.93731E-002,-4.78569E-001,-1.40263E-003,-1.22363E-004,-5.66076E-005,2.90619E-003,-9.49606E-005,-1.71023E-005,1.39980E-004,8.92611E-005,-2.01324E-004,5.27708E+001,2.01754E-004
746,1359,1.72545E-001,-4.78799E-001,-2.97532E-004,-3.92106E-005,8.26958E-005,2.45419E-003,1.66311E-004,-8.45159E-005,8.81277E-005,1.94178E-004,-1.12383E-004,1.75478E+001,1.94980E-004
756,1359,2.55500E-001,-4.78985E-001,4.52969E-004,-1.04484E-004,3.43195E-005,2.71974E-003,1.64654E-004,-1.99999E-004,-2.68677E-005,1.66623E-004,-2.01968E-004,-4.19140E+000,2.15721E-004
706,1359,-1.59376E-001,-4.78297E-001,-1.94345E-003,9.64520E-005,3.93321E-005,2.49480E-003,4.25495E-005,-1.04643E-004,5.48647E-005,6.07495E-005,-1.22843E-004,1.83519E+001,1.22845E-004
716,1359,-7.65128E-002,-4.78523E-001,-1.98326E-003,6.25231E-007,4.34113E-006,2.86290E-003,-2.59884E-004,-2.34040E-005,-3.49441E-005,-1.83485E-005,-2.64940E-004,-8.17679E+001,3.17051E-004
726,1359,6.32331E-003,-4.78586E-001,-2.03936E-003,-1.13509E-004,-1.02344E-004,3.36737E-003,-2.20058E-004,2.97478E-005,3.69369E-005,3.50949E-005,-2.25405E-004,8.17629E+001,2.42566E-004
766,1359,3.38490E-001,-4.78644E-001,4.58839E-004,-8.14276E-005,-4.89508E-005,3.11465E-003,8.40158E-005,-2.98390E-004,-1.00365E-004,1.08757E-004,-3.23131E-004,-1.38479E+001,3.28834E-004
776,1359,4.21248E-001,-4.78626E-001,-3.29215E-003,-7.05247E-005,-2.45051E-005,3.08413E-003,2.07148E-004,-3.89611E-004,-4.37440E-005,2.10337E-004,-3.92800E-004,-4.17023E+000,3.93130E-004
696,1359,-2.42374E-001,-4.78309E-001,-2.25941E-003,1.04000E-004,-2.45374E-005,2.51095E-003,3.83235E-004,-1.14978E-004,4.03500E-005,3.86481E-004,-1.18225E-004,4.60041E+000,3.96069E-004
786,1359,5.04158E-001,-4.78868E-001,-5.17875E-003,-6.06761E-005,-2.29989E-005,2.58394E-003,2.06673E-004,-3.94493E-004,-5.96286E-006,2.06732E-004,-3.94553E-004,-5.68232E-001,3.94704E-004
796,1359,5.87430E-001,-4.78936E-001,-3.20559E-003,2.16602E-005,-7.26332E-005,1.54556E-003,4.05194E-004,-3.25992E-004,1.32864E-005,4.05435E-004,-3.26233E-004,1.04067E+000,4.29789E-004
646,1359,-6.57067E-001,-4.77893E-001,3.99917E-003,-4.73203E-005,1.79887E-005,3.00221E-003,-2.96966E-004,2.05184E-004,1.19936E-004,2.32360E-004,-3.24142E-004,7.72333E+001,3.34149E-004
656,1359,-5.74077E-001,-4.77620E-001,3.94316E-003,-2.56597E-005,3.92552E-005,3.16644E-003,-3.25048E-004,2.61734E-004,-5.38097E-005,2.66627E-004,-3.29942E-004,-8.48036E+001,3.50201E-004
676,1359,-4.08523E-001,-4.77987E-001,-1.02847E-003,-1.01682E-004,2.27209E-005,3.37610E-003,8.31693E-005,7.13694E-005,-1.16295E-004,1.93714E-004,-3.91754E-005,-4.35479E+001,2.04845E-004
686,1359,-3.25384E-001,-4.78318E-001,-3.54638E-005,-2.80815E-005,-7.52769E-005,3.08082E-003,4.40189E-004,-3.54626E-005,-7.88289E-005,4.52913E-004,-4.81864E-005,-9.16905E+000,4.97497E-004
666,1359,-4.91399E-001,-4.77889E-001,1.25351E-003,-9.65332E-005,8.27151E-005,4.08867E-003,-1.58514E-004,1.07263E-004,-1.11513E-004,1.47852E-004,-1.99103E-004,-6.99992E+001,2.06767E-004
646,1369,-6.57008E-001,-3.95072E-001,4.56925E-003,-3.28088E-005,8.01400E-005,2.82897E-003,-2.83804E-004,1.13014E-004,9.33325E-005,1.33870E-004,-3.04660E-004,7.74037E+001,3.05405E-004
656,1369,-5.73897E-001,-3.94869E-001,6.02140E-003,2.60359E-006,1.73672E-004,2.80543E-003,-2.20007E-004,1.58837E-004,-7.58023E-005,1.73441E-004,-2.34611E-004,-7.90949E+001,2.43401E-004
696,1369,-2.42365E-001,-3.95578E-001,1.20545E-003,-6.56029E-005,-9.72976E-006,3.12752E-003,2.74898E-004,3.32586E-005,-1.59741E-004,3.54365E-004,-4.62080E-005,-2.64490E+001,3.85288E-004
706,1369,-1.59432E-001,-3.95466E-001,1.02035E-004,-3.47264E-005,4.69953E-005,3.31062E-003,8.71651E-005,8.38217E-006,-1.31678E-004,1.85218E-004,-8.96704E-005,-3.66727E+001,1.85249E-004
716,1369,-7.64169E-002,-3.95432E-001,-7.50605E-005,1.83358E-005,4.50811E-005,3.50188E-003,-1.34305E-004,-2.50559E-005,-1.26309E-004,5.79341E-005,-2.17295E-004,-5.66935E+001,2.25048E-004
756,1369,2.55362E-001,-3.95902E-001,-1.21174E-003,-7.05395E-005,4.86151E-005,3.61512E-003,1.09989E-004,-2.48488E-004,3.07854E-005,1.12614E-004,-2.51112E-004,4.87292E+000,2.51557E-004
766,1369,3.38471E-001,-3.95698E-001,-1.08208E-004,-3.99793E-005,-2.07924E-005,3.38692E-003,1.38416E-004,-3.33621E-004,-2.18689E-005,1.39427E-004,-3.34632E-004,-2.64689E+000,3.36177E-004
776,1369,4.21170E-001,-3.95533E-001,-3.19711E-003,-7.06240E-005,-4.70439E-005,4.29576E-003,2.63331E-004,-2.42798E-004,6.50395E-005,2.71555E-004,-2.51022E-004,7.20676E+000,3.02408E-004
746,1369,1.72313E-001,-3.95904E-001,-2.43375E-003,-6.98641E-005,1.07270E-004,3.32857E-003,8.45184E-005,-1.75984E-004,1.67209E-004,1.66221E-004,-2.57686E-004,2.60412E+001,2.61276E-004
676,1369,-4.08609E-001,-3.95309E-001,-5.93320E-004,-1.47267E-004,-6.61885E-005,4.37740E-003,5.76712E-005,1.66847E-004,-2.35977E-004,3.54468E-004,-1.29949E-004,-5.15125E+001,3.58648E-004
686,1369,-3.25340E-001,-3.95523E-001,1.99156E-003,-1.07954E-004,-1.53222E-004,3.12289E-003,3.42151E-004,4.08707E-005,-2.42231E-004,4.76763E-004,-9.37408E-005,-2.90616E+001,5.05171E-004
786,1369,5.04272E-001,-3.95809E-001,-3.99036E-003,5.34639E-006,-4.85114E-005,2.95474E-003,2.80141E-004,-1.51847E-004,7.13628E-005,2.91624E-004,-1.63331E-004,9.14158E+000,2.92325E-004
796,1369,5.87437E-001,-3.95749E-001,-5.04642E-003,1.63068E-004,-1.56051E-004,1.67891E-003,6.14561E-004,1.31187E-005,9.95490E-005,6.30610E-004,-2.93011E-006,9.15815E+000,7.26480E-004
726,1369,6.35995E-003,-3.95361E-001,-4.20255E-003,-1.81244E-005,3.22896E-005,2.04581E-003,-2.09165E-004,-1.09640E-004,4.15760E-005,-9.45573E-005,-2.24247E-004,7.00608E+001,3.27480E-004
666,1369,-4.91389E-001,-3.95134E-001,2.65397E-003,-1.91324E-004,8.64927E-005,3.79809E-003,-6.23472E-005,1.43152E-004,-1.48408E-004,2.20909E-004,-1.40104E-004,-6.23483E+001,2.23546E-004
736,1369,8.93301E-002,-3.95676E-001,-4.79358E-003,-5.34950E-006,-1.66366E-005,1.89778E-003,-1.85083E-004,-1.56454E-004,2.03922E-004,3.36547E-005,-3.75192E-004,4.70077E+001,4.15171E-004
646,1379,-6.56951E-001,-3.12545E-001,7.37728E-003,-1.12521E-004,-5.98840E-005,3.42437E-003,-2.32580E-004,2.41374E-005,5.14305E-005,3.40576E-005,-2.42501E-004,7.90826E+001,2.62571E-004
656,1379,-5.73820E-001,-3.12222E-001,6.65394E-003,-9.59182E-006,6.32634E-005,1.98516E-003,-2.31994E-004,-1.06555E-004,-4.09654E-005,-9.43620E-005,-2.44187E-004,-7.34246E+001,3.49425E-004
